Common Name,Botanical Name,Family,Active Phytochemical,SMILES,Ancient Symbols,Claim Transliteration,Papyrus Source,Ancient Claim,Modern Use,Protein Target,PDB ID
Castor Oil Plant,Ricinus communis,Euphorbiaceae,Ricinoleic Acid,CCCCCC(O)C/C=C/CCCCCCCC(=O)O,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓂧𓂋𓀜𓅓𓂋𓅱𓏏𓅪𓅓𓄡𓏏𓏺𓈖𓏏𓊃𓀀,pẖrt nt dr mrwt m ẖt nt s,Ebers Papyrus (Recipe 251),To drive out illness in the belly of a man...,Laxative and skin treatments,Prostaglandin EP3 Receptor,6AK3
Garlic,Allium sativum,Amaryllidaceae,Allicin,O=S(SC/C=C)C/C=C,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓃹𓃀𓄿𓉿𓂋𓏏𓂤𓂋𓂧𓂋𓀜𓎛𓆑𓄿𓏏𓆙,pẖrt nt wbꜣ mt r dr ḥfꜣt,Ebers Papyrus (Recipe 432),"To clear the heart, open the arteries, and expel worms.",Cardiovascular health,HMG-CoA Reductase,1HW9
Frankincense,Boswellia carterii,Burseraceae,Boswellic Acid,CC1CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC(C4(C)C)O)C)C)C(=O)O,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓅱𓏏𓍕𓅱𓃀𓈖𓅱𓐎,pẖrt nt wt wbnw,Edwin Smith Papyrus,Used in salves for binding open wounds.,Anti-inflammatory,5-Lipoxygenase (5-LOX),3O8Y
Myrrh,Commiphora myrrha,Burseraceae,Guggulsterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=CC,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓋴𓂋𓅱𓐍𓐎𓅱𓃀𓈖𓅱𓐎,pẖrt nt srwḫ wbnw,Hearst Medical Papyrus,For the treatment of infected wounds and anointing.,Antimicrobial,Farnesoid X Receptor (FXR),3DCT
Pomegranate,Punica granatum,Lythraceae,Ellagic Acid,O=C1OC2=C(O)C(O)=CC3=C2C4=C1C=C(O)C(O)=C4C(=O)O3,𓂋𓂧𓂋𓀜𓎛𓆑𓄿𓏏𓆙𓅓𓄡𓏏𓏺,r dr ḥfꜣt m ẖt,Ebers Papyrus (Recipe 63),To drive out the 'hefat' worm from the belly.,Anthelmintic,Protein Kinase CK2,2ZJW
Coriander,Coriandrum sativum,Apiaceae,Linalool,CC(=CCCC(C)(C=C)O)C,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓋴𓈎𓃀𓃀𓏁𓂤𓏥,pẖrt nt sqbb mt,Ebers Papyrus,To cool the vessels and relieve pain in the abdomen.,Digestive aid,GABA-A Receptor,6D6U
Celery,Apium graveolens,Apiaceae,Apigenin,O=C1C=C(c2ccc(O)cc2)Oc3cc(O)cc(O)c13,𓂋𓋴𓊵𓏏𓊪𓂝𓅱𓏏𓄹𓏥,r sḥtp ꜥwt,Medical Papyrus of Brooklyn,To soothe the joints and calm the spirit.,Anti-inflammatory,Cyclooxygenase-2 (COX-2),5IKQ
Blue Lotus,Nymphaea caerulea,Nymphaeaceae,Apomorphine,CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O,𓂋𓋴𓊵𓏏𓊪𓄣𓏤𓂧𓂋𓀜𓅱𓐍𓂧𓅱𓐎,r sḥtp jb dr wḫdw,Turin Papyrus,"For euphoria, spiritual opening, and pain relief.",Dopamine agonist,Dopamine D2 Receptor,6CM4
Aloe Vera,Aloe barbadensis,Asphodelaceae,Aloin,O=C1C2=C(C=C(O)C=C2)C(=O)C3=C1C(C4OC(CO)C(O)C(O)C4O)C(C)=CC3=O,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓅱𓏏𓍕𓋴𓂋𓆑𓊮,pẖrt nt wt srf,Ebers Papyrus,"To heal burns, skin diseases, and embalming.",Topical burn treatment,Matrix Metalloproteinase-9 (MMP-9),1L6J
Senna,Senna alexandrina,Fabaceae,Sennoside A,O=C1C2=C(C(=O)C3=C1C=CC(=C3)C4=CC=C5C(=C4)C(=O)C6=C(C5=O)C=C(O)C=C6)C=C(O)C=C2,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓅱𓋴𓐍𓏏𓂷𓄡𓏏𓏺,pẖrt nt wsẖt ẖt,Carlsberg Papyrus,To unbind the bowels and expel sickness.,Stimulant laxative,P-glycoprotein,6QEX
Willow,Salix subserrata,Salicaceae,Salicin,O=C(CO)C1=CC=CC=C1OC2OC(CO)C(O)C(O)C2O,𓂋𓂧𓂋𓀜𓋴𓂋𓆑𓊮𓅓𓈎𓋴𓄹,r dr srf m qs,Ebers Papyrus (Recipe 763),To draw out the heat and soothe aching bones.,Precursor to Aspirin,Cyclooxygenase-1 (COX-1),1EQG
Opium Poppy,Papaver somniferum,Papaveraceae,Morphine,CN1CCC23C4C1CC5=C2C(=C(O)C=C5)OC3C(O)C=C4,𓂋𓋴𓈙𓂋𓀜𓅱𓐍𓂧𓅱𓐎𓂋𓅱𓂻𓂋𓅓𓏏𓁿𓈗,r sšr wḫdw rwj rmjt,Ebers Papyrus,To soothe the crying of a child and dull the pain.,Analgesic,mu-Opioid Receptor,5C1M
Fennel,Foeniculum vulgare,Apiaceae,Anethole,COc1ccc(cc1)CC=C,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓆑𓂋𓁹𓁹,pẖrt nt nfr jrty,Ebers Papyrus (Recipe 265),To strengthen the eyes and clear the vision.,Anti-inflammatory,Cyclooxygenase-2 (COX-2),5IKQ
Juniper,Juniperus communis,Cupressaceae,Pinene,CC1=CCC(CC1)C(=C)C,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓂧𓂋𓀜𓈙𓊪𓋴𓅱𓐎𓏥,pẖrt nt dr špsw,Kahun Gynecological Papyrus,For the treatment of urinary ailments.,Diuretic and antiseptic,Acetylcholinesterase (AChE),4EY7
Henna,Lawsonia inermis,Lythraceae,Lawsone,O=C1C=C(O)C2=C(C=O)C=CC=C2C1=O,𓂋𓏏𓅱𓂋𓈗𓆯𓅓𓋴𓂋𓅱𓐍𓐎𓅱𓃀𓈖𓅱𓐎,r twr jnm srwḫ wbnw,General medicinal usage,For the healing of wounds and the cleansing of the skin.,Antifungal,Tyrosinase,5I38
Cumin,Cuminum cyminum,Apiaceae,Cuminaldehyde,CC(C)C1=CC=C(C=O)C=C1,𓂋𓋴𓊵𓏏𓊪𓄡𓏏𓏺𓂧𓂋𓀜𓋴𓂋𓆑𓊮,r sḥtp ẖt dr srf,Ebers Papyrus,To disperse the heat of the joints and calm the belly.,Digestive stimulant,Alpha-glucosidase,3W37
Safflower,Carthamus tinctorius,Asteraceae,Carthamin,O=C1C(=C(O)C=C(O)C1=O)C2=CC=C(O)C=C2,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓂧𓅓𓏏𓌗𓋴𓂋𓈎𓏏𓆢,pẖrt nt dmt srqt,Tomb of Tutankhamun,"Used for dyes, wound healing, and scorpion bites.",Wound healing,VEGF Receptor 2,4ASD
Date Palm,Phoenix dactylifera,Arecaceae,Rutin,CC1OC(OC2C(O)C(O)C(O)OC2OC3=C(O)C=C4C(=C3)OC(=CC4=O)C5=CC(=C(O)C=C5)O)C(O)C(O)C1O,𓂋𓋴𓈖𓆓𓅓𓇛𓏤𓊪𓄡𓂋𓏏𓏺,r snḏm pẖrt,Ebers Papyrus (Recipe 852),To sweeten medicines and provide strength.,Antioxidant,Aldose Reductase,1US0
Sycamore Fig,Ficus sycomorus,Moraceae,Psoralen,O=C1C=CC2=CC3=C(C=CO3)C=C2O1,𓊪𓄡𓂋𓏏𓏺𓈖𓏏𓂧𓂋𓀜𓎡𓄿𓎡𓏏𓐎𓅓𓆯,pẖrt nt dr kꜣkt m jnm,Ebers Papyrus,To cure the skin of spots and lesions.,Treatment for skin disorders,DNA Crosslink Target,127D
